s,Winding_numbers
237_B_TDay4_positions.csv,6.934711092
238_B_TDay4_positions.csv,7.309962555
239_B_TDay4_positions.csv,5.591533345
23_B_TDay1_positions.csv,9.331981725
240_B_TDay4_positions.csv,13.46927381
241_B_TDay4_positions.csv,13.64408591
242_B_TDay4_positions.csv,15.66563588
243_B_TDay4_positions.csv,17.50921314
244_B_TDay4_positions.csv,9.668441148
245_A_TDay4_positions.csv,3.464453466
246_A_TDay4_positions.csv,5.923390818
247_A_TDay4_positions.csv,15.6447382
248_A_TDay4_positions.csv,9.279160467
249_A_TDay4_positions.csv,10.7932941
24_B_TDay1_positions.csv,22.23080778
250_A_TDay4_positions.csv,4.7973367
251_A_TDay4_positions.csv,8.384682383
252_A_TDay4_positions.csv,5.479041202
253_B_TDay4_positions.csv,23.78758316
254_B_TDay4_positions.csv,4.179367022
255_B_TDay4_positions.csv,8.435332437
256_B_TDay4_positions.csv,6.907935342
257_B_TDay4_positions.csv,10.74980552
258_B_TDay4_positions.csv,9.905607624
259_B_TDay4_positions.csv,5.352363458
25_B_TDay1_positions.csv,12.31561706
260_B_TDay4_positions.csv,14.97452154
261_B_TDay4_positions.csv,15.80876826
262_B_TDay4_positions.csv,14.60822091
263_A_TDay4_positions.csv,7.940312587
264_A_TDay4_positions.csv,15.72537564
265_A_TDay4_positions.csv,17.23544641
266_A_TDay4_positions.csv,5.223808596
267_A_TDay4_positions.csv,7.935482649
268_A_TDay4_positions.csv,3.618172676
269_A_TDay4_positions.csv,17.77499817
26_B_TDay1_positions.csv,21.3509467
270_A_TDay4_positions.csv,15.40481957
271_B_TDay4_positions.csv,3.56054231
272_B_TDay4_positions.csv,4.043068248
273_B_TDay4_positions.csv,3.211904437
274_B_TDay4_positions.csv,9.404601589
275_B_TDay4_positions.csv,2.807109161
276_B_TDay4_positions.csv,11.66874525
277_B_TDay4_positions.csv,3.888586305
278_B_TDay4_positions.csv,5.539243914
279_B_TDay4_positions.csv,8.818348368
27_B_TDay1_positions.csv,34.10549129
280_B_TDay4_positions.csv,11.40064388
